Date,Sales,Revenue,Customer_Count,Conversion_Rate,Marketing_Spend,Product_Returns,Website_Visits,Cart_Abandonment_Rate
2025-01-01,100,5000,50,2.0,1000,5,2500,45.0
2025-01-02,105,5250,52,2.1,1050,4,2600,44.5
2025-01-03,98,4900,49,2.0,980,6,2450,45.5
2025-01-04,300,15000,150,2.0,1000,15,7500,46.0
2025-01-05,102,5100,51,2.0,1020,5,2550,45.0
2025-01-06,99,4950,50,1.9,990,5,2475,45.2
2025-01-07,103,5150,52,2.0,1030,4,2580,44.8
2025-01-08,101,5050,50,2.0,1010,5,2525,45.0
2025-01-09,97,4850,49,2.0,970,6,2425,45.3
2025-01-10,500,25000,250,2.0,1000,25,12500,47.0
2025-01-11,105,5250,52,2.1,1050,4,2625,44.5
2025-01-12,102,5100,51,2.0,1020,5,2550,45.0
2025-01-13,98,4900,49,2.0,980,6,2450,45.5
2025-01-14,103,5150,52,2.0,1030,4,2575,44.8
2025-01-15,101,5050,50,2.0,1010,5,2525,45.0
2025-01-16,99,4950,50,1.9,990,5,2475,45.2
2025-01-17,104,5200,51,2.1,1040,4,2600,44.6
2025-01-18,98,4900,49,2.0,980,6,2450,45.5
2025-01-19,102,5100,51,2.0,1020,5,2550,45.0
2025-01-20,106,5300,53,2.0,1060,4,2650,44.4
2025-01-21,100,5000,50,2.0,1000,5,2500,45.0
2025-01-22,97,4850,49,2.0,970,6,2425,45.3
2025-01-23,103,5150,52,2.0,1030,4,2575,44.8
2025-01-24,350,17500,175,2.0,1000,18,8750,46.5
2025-01-25,105,5250,52,2.1,1050,4,2625,44.5
2025-01-26,101,5050,50,2.0,1010,5,2525,45.0
2025-01-27,99,4950,50,1.9,990,5,2475,45.2
2025-01-28,104,5200,51,2.1,1040,4,2600,44.6
2025-01-29,102,5100,51,2.0,1020,5,2550,45.0
2025-01-30,98,4900,49,2.0,980,6,2450,45.5
2025-01-31,103,5150,52,2.0,1030,4,2575,44.8
